bugType,sourceBeforeFix,sourceAfterFix,,
CHANGE_IDENTIFIER,"waitForJobExecutorToProcessAllJobsAndExecutableTimerJobs(10000,200)","executeJobExecutorForTime(10000,200)",,
DIFFERENT_METHOD_SAME_ARGS,"waitForJobExecutorToProcessAllJobsAndExecutableTimerJobs(10000,200)","executeJobExecutorForTime(10000,200)",,
CHANGE_IDENTIFIER,"waitForJobExecutorToProcessAllJobsAndExecutableTimerJobs(10000,200)","executeJobExecutorForTime(10000,200)",,
CHANGE_NUMERAL,"calendar.set(Calendar.YEAR,2200)","calendar.set(Calendar.YEAR,2030)",,
CHANGE_NUMERAL,"calendar.set(Calendar.YEAR,2200)","calendar.set(Calendar.YEAR,2030)",,
CHANGE_NUMERAL,"waitForJobExecutorToProcessAllJobsAndExecutableTimerJobs(10000,200)","waitForJobExecutorToProcessAllJobsAndExecutableTimerJobs(20000,200)",,
DIFFERENT_METHOD_SAME_ARGS,"executionListenerContextCloseListener.addClosedExecutionListener(executionListener,execution,executionVariablesToUse,customPropertiesMapToUse)","executionListenerContextCloseListener.addCloseFailedExecutionListener(executionListener,execution,executionVariablesToUse,customPropertiesMapToUse)",,
CHANGE_IDENTIFIER,"executionListenerContextCloseListener.addClosedExecutionListener(executionListener,execution,executionVariablesToUse,customPropertiesMapToUse)","executionListenerContextCloseListener.addCloseFailedExecutionListener(executionListener,execution,executionVariablesToUse,customPropertiesMapToUse)",,
DIFFERENT_METHOD_SAME_ARGS,xtw.writeCharacters(customProperty.getSimpleValue()),xtw.writeCData(customProperty.getSimpleValue()),,
CHANGE_IDENTIFIER,xtw.writeCharacters(customProperty.getSimpleValue()),xtw.writeCData(customProperty.getSimpleValue()),,
DIFFERENT_METHOD_SAME_ARGS,xtw.writeCharacters(customProperty.getSimpleValue()),xtw.writeCData(customProperty.getSimpleValue()),,
CHANGE_IDENTIFIER,xtw.writeCharacters(customProperty.getSimpleValue()),xtw.writeCData(customProperty.getSimpleValue()),,
CHANGE_IDENTIFIER,execution.getJobs().remove(this),execution.getJobs().remove(jobEntity),,
SWAP_BOOLEAN_LITERAL,"new GetExecutionVariableInstancesCmd(executionId,variableNames,false)","new GetExecutionVariableInstancesCmd(executionId,variableNames,true)",,
SWAP_BOOLEAN_LITERAL,"new GetExecutionVariableInstancesCmd(executionId,variableNames,false,locale,withLocalizationFallback)","new GetExecutionVariableInstancesCmd(executionId,variableNames,true,locale,withLocalizationFallback)",,
SWAP_BOOLEAN_LITERAL,"new GetExecutionVariableInstancesCmd(executionId,variableNames,false)","new GetExecutionVariableInstancesCmd(executionId,variableNames,true)",,
SWAP_BOOLEAN_LITERAL,"new GetExecutionVariableInstancesCmd(executionId,variableNames,false,locale,withLocalizationFallback)","new GetExecutionVariableInstancesCmd(executionId,variableNames,true,locale,withLocalizationFallback)",,
CHANGE_IDENTIFIER,StringUtils.isEmpty(formKey),StringUtils.isEmpty(finalFormKey),,
CHANGE_IDENTIFIER,StringUtils.isEmpty(formKey),StringUtils.isEmpty(finalFormKey),,
CHANGE_IDENTIFIER,bulkInsertableMap.get(entityClass),bulkInsertableMap.get(persistentObjectClass),,
DIFFERENT_METHOD_SAME_ARGS,bulkInsertableMap.get(persistentObjectClass),bulkInsertableMap.containsKey(persistentObjectClass),,
CHANGE_IDENTIFIER,bulkInsertableMap.get(persistentObjectClass),bulkInsertableMap.containsKey(persistentObjectClass),,
MORE_SPECIFIC_IF,processInstanceArray.size() == 0,processInstanceArray.size() == 0 && StringUtils.isNotEmpty(callActivityBehavior.getProcessDefinitonKey()),,
MORE_SPECIFIC_IF,processInstanceArray.size() == 0,processInstanceArray.size() == 0 && StringUtils.isNotEmpty(callActivityBehavior.getProcessDefinitonKey()),,
OVERLOAD_METHOD_MORE_ARGS,IOUtils.toString(stencilsetStream),"IOUtils.toString(stencilsetStream,""utf-8"")",,
MORE_SPECIFIC_IF,idAnnotation != null,idAnnotation != null && !method.isBridge(),,
MORE_SPECIFIC_IF,idAnnotation != null,idAnnotation != null && !method.isBridge(),,
CHANGE_IDENTIFIER,entity instanceof ProcessDefinition,entity instanceof ProcessDefinitionEntity,,
CHANGE_IDENTIFIER,entity instanceof ProcessDefinition,entity instanceof ProcessDefinitionEntity,,
OVERLOAD_METHOD_MORE_ARGS,IOUtils.toString(stencilsetStream),"IOUtils.toString(stencilsetStream,""utf-8"")",,
MORE_SPECIFIC_IF,idAnnotation != null,idAnnotation != null && !method.isBridge(),,
CHANGE_IDENTIFIER,"new ContinueProcessOperation(this,execution,true)","new ContinueProcessOperation(commandContext,execution,true)",,
DIFFERENT_METHOD_SAME_ARGS,"log.error(""activitiy or FailedJobRetryTimerCycleValue is null in job "" + jobId + ""'. only decrementing retries."")","log.info(""activitiy or FailedJobRetryTimerCycleValue is null in job "" + jobId + ""'. only decrementing retries."")",,
CHANGE_IDENTIFIER,"log.error(""activitiy or FailedJobRetryTimerCycleValue is null in job "" + jobId + ""'. only decrementing retries."")","log.info(""activitiy or FailedJobRetryTimerCycleValue is null in job "" + jobId + ""'. only decrementing retries."")",,
DIFFERENT_METHOD_SAME_ARGS,"log.error(""activitiy or FailedJobRetryTimerCycleValue is null in job "" + jobId + ""'. only decrementing retries."")","log.info(""activitiy or FailedJobRetryTimerCycleValue is null in job "" + jobId + ""'. only decrementing retries."")",,
CHANGE_IDENTIFIER,"log.error(""activitiy or FailedJobRetryTimerCycleValue is null in job "" + jobId + ""'. only decrementing retries."")","log.info(""activitiy or FailedJobRetryTimerCycleValue is null in job "" + jobId + ""'. only decrementing retries."")",,
CHANGE_IDENTIFIER,DefaultManagementAgent.class,DefaultManagementMBeanAssembler.class,,
CHANGE_IDENTIFIER,DefaultManagementAgent.class,MBeanInfoAssembler.class,,
CHANGE_IDENTIFIER,DefaultManagementAgent.class,DefaultManagementMBeanAssembler.class,,
CHANGE_IDENTIFIER,DefaultManagementAgent.class,MBeanInfoAssembler.class,,
SWAP_BOOLEAN_LITERAL,processEngineConfiguration.setEnableSafeBpmnXml(false),processEngineConfiguration.setEnableSafeBpmnXml(true),,
CHANGE_NUMERAL,"assertEquals(0,beanInfo.getAttributes().length)","assertEquals(2,beanInfo.getAttributes().length)",,
CHANGE_NUMERAL,"assertEquals(0,beanInfo.getOperations().length)","assertEquals(1,beanInfo.getOperations().length)",,
MORE_SPECIFIC_IF,dbSqlSessionFactory.getDatabaseCatalog() != null,dbSqlSessionFactory.getDatabaseCatalog() != null && dbSqlSessionFactory.getDatabaseCatalog().length() > 0,,
MORE_SPECIFIC_IF,dbSqlSessionFactory.getDatabaseSchema() != null,dbSqlSessionFactory.getDatabaseSchema() != null && dbSqlSessionFactory.getDatabaseSchema().length() > 0,,
CHANGE_NUMERAL,new Date(0),new Date(1),,
CHANGE_NUMERAL,new Date(0),new Date(1),,
CHANGE_NUMERAL,new Date(0),new Date(1),,
DIFFERENT_METHOD_SAME_ARGS,executionManager.findChildExecutionsByParentExecutionId(processInstanceId),executionManager.findChildExecutionsByProcessInstanceId(processInstanceId),,
CHANGE_IDENTIFIER,executionManager.findChildExecutionsByParentExecutionId(processInstanceId),executionManager.findChildExecutionsByProcessInstanceId(processInstanceId),,
CHANGE_IDENTIFIER,AcquireJobsRunnable.class,ExecuteJobsRunnable.class,,
LESS_SPECIFIC_IF,processDefinition.getTenantId() == null,processDefinition.getTenantId() == null || ProcessEngineConfiguration.NO_TENANT_ID.equals(processDefinition.getTenantId()),,
LESS_SPECIFIC_IF,processDefinition.getTenantId() == null,processDefinition.getTenantId() == null || ProcessEngineConfiguration.NO_TENANT_ID.equals(processDefinition.getTenantId()),,
DIFFERENT_METHOD_SAME_ARGS,deployOneTaskProcess(),deployOneTaskTestProcess(),,
CHANGE_IDENTIFIER,deployOneTaskProcess(),deployOneTaskTestProcess(),,
DIFFERENT_METHOD_SAME_ARGS,deployOneTaskProcess(),deployOneTaskTestProcess(),,
CHANGE_IDENTIFIER,deployOneTaskProcess(),deployOneTaskTestProcess(),,
DIFFERENT_METHOD_SAME_ARGS,"log.error(""Error while closing command context"",exception)","log.debug(""Error while closing command context"",exception)",,
CHANGE_IDENTIFIER,"log.error(""Error while closing command context"",exception)","log.debug(""Error while closing command context"",exception)",,
OVERLOAD_METHOD_MORE_ARGS,"assertResultsPresentInDataResponse(url,timerJob.getId())","assertResultsPresentInDataResponse(url,asyncJob.getId(),timerJob.getId())",,
DIFFERENT_METHOD_SAME_ARGS,processEngineConfiguration.getCommandExecutorTxRequiresNew(),processEngineConfiguration.getCommandExecutor(),,
CHANGE_IDENTIFIER,processEngineConfiguration.getCommandExecutorTxRequiresNew(),processEngineConfiguration.getCommandExecutor(),,
DIFFERENT_METHOD_SAME_ARGS,processEngineConfiguration.getCommandExecutorTxRequiresNew(),processEngineConfiguration.getCommandExecutor(),,
CHANGE_IDENTIFIER,processEngineConfiguration.getCommandExecutorTxRequiresNew(),processEngineConfiguration.getCommandExecutor(),,
DIFFERENT_METHOD_SAME_ARGS,ExceptionUtils.getFullStackTrace(th),ExceptionUtils.getStackTrace(th),,
CHANGE_IDENTIFIER,ExceptionUtils.getFullStackTrace(th),ExceptionUtils.getStackTrace(th),,
DIFFERENT_METHOD_SAME_ARGS,request.getTaskDefinitionKey(),request.getDueDate(),,
CHANGE_IDENTIFIER,request.getTaskDefinitionKey(),request.getDueDate(),,
DIFFERENT_METHOD_SAME_ARGS,request.getTaskDefinitionKey(),request.getDueBefore(),,
CHANGE_IDENTIFIER,request.getTaskDefinitionKey(),request.getDueBefore(),,
DIFFERENT_METHOD_SAME_ARGS,request.getTaskDefinitionKey(),request.getDueAfter(),,
CHANGE_IDENTIFIER,request.getTaskDefinitionKey(),request.getDueAfter(),,
DIFFERENT_METHOD_SAME_ARGS,processInstance.getId(),processInstance.getProcessDefinitionId(),,
CHANGE_IDENTIFIER,processInstance.getId(),processInstance.getProcessDefinitionId(),,
LESS_SPECIFIC_IF,srcActivity.getParent() == null,srcActivity.getParent() == null || !(srcActivity.getParent() instanceof PvmActivity),,
LESS_SPECIFIC_IF,srcActivity.getParent() == null,srcActivity.getParent() == null || !(srcActivity.getParent() instanceof PvmActivity),,
CHANGE_IDENTIFIER,new DatabaseFormatterOracle(),new DatabaseFormatterDb2(),,
CHANGE_IDENTIFIER,new DatabaseFormatterOracle(),new DatabaseFormatterPostgres(),,
CHANGE_NUMERAL,"assertEquals(2,historyService.createHistoricActivityInstanceQuery().processInstanceId(processInstance.getId()).count())","assertEquals(3,historyService.createHistoricActivityInstanceQuery().processInstanceId(processInstance.getId()).count())",,
CHANGE_NUMERAL,"assertEquals(2,historyService.createHistoricActivityInstanceQuery().executionId(processInstance.getId()).list().size())","assertEquals(3,historyService.createHistoricActivityInstanceQuery().executionId(processInstance.getId()).list().size())",,
CHANGE_NUMERAL,"assertEquals(1,historyService.createHistoricActivityInstanceQuery().executionId(processInstance.getId()).list().size())","assertEquals(3,historyService.createHistoricActivityInstanceQuery().executionId(processInstance.getId()).list().size())",,
CHANGE_NUMERAL,"assertEquals(2,historyService.createHistoricActivityInstanceQuery().processInstanceId(processInstance.getId()).list().size())","assertEquals(3,historyService.createHistoricActivityInstanceQuery().processInstanceId(processInstance.getId()).list().size())",,
CHANGE_NUMERAL,"assertEquals(1,historyService.createHistoricActivityInstanceQuery().processInstanceId(processInstance.getId()).list().size())","assertEquals(3,historyService.createHistoricActivityInstanceQuery().processInstanceId(processInstance.getId()).list().size())",,
CHANGE_NUMERAL,"assertEquals(2,historyService.createHistoricActivityInstanceQuery().processDefinitionId(processInstance.getProcessDefinitionId()).list().size())","assertEquals(3,historyService.createHistoricActivityInstanceQuery().processDefinitionId(processInstance.getProcessDefinitionId()).list().size())",,
CHANGE_NUMERAL,"assertEquals(1,historyService.createHistoricActivityInstanceQuery().processDefinitionId(processInstance.getProcessDefinitionId()).list().size())","assertEquals(3,historyService.createHistoricActivityInstanceQuery().processDefinitionId(processInstance.getProcessDefinitionId()).list().size())",,
CHANGE_NUMERAL,"assertEquals(2,historyService.createHistoricActivityInstanceQuery().finished().list().size())","assertEquals(3,historyService.createHistoricActivityInstanceQuery().finished().list().size())",,
CHANGE_NUMERAL,"assertEquals(1,historyService.createHistoricActivityInstanceQuery().finished().list().size())","assertEquals(3,historyService.createHistoricActivityInstanceQuery().finished().list().size())",,
MORE_SPECIFIC_IF,applicationContext != null,processEngineConfiguration.getExpressionManager() == null && applicationContext != null,,
CHANGE_MODIFIER,1,1025,,
DIFFERENT_METHOD_SAME_ARGS,taskService.createTaskQuery().orderByTaskId(),taskService.createTaskQuery().orderByExecutionId(),,
CHANGE_IDENTIFIER,taskService.createTaskQuery().orderByTaskId(),taskService.createTaskQuery().orderByExecutionId(),,
CHANGE_UNARY_OPERATOR,exclude,!exclude,,
CHANGE_IDENTIFIER,TestSuite testSuite=new TestSuite(testClass); ,ServletTestSuite testSuite=new ServletTestSuite(testClass); ,,
CHANGE_IDENTIFIER,new ReadonlyMapELResolver(beans),new ReadOnlyMapELResolver(beans),,
CHANGE_OPERATOR,bytesRead != 0,bytesRead == 0,,
DIFFERENT_METHOD_SAME_ARGS,"LOG.warn(""Failed to send receipt of data to worker {} for request {}: {}."",mAddress,mReadRequest,e.getMessage())","LOG.debug(""Failed to send receipt of data to worker {} for request {}: {}."",mAddress,mReadRequest,e.getMessage())",,
CHANGE_IDENTIFIER,"LOG.warn(""Failed to send receipt of data to worker {} for request {}: {}."",mAddress,mReadRequest,e.getMessage())","LOG.debug(""Failed to send receipt of data to worker {} for request {}: {}."",mAddress,mReadRequest,e.getMessage())",,
CHANGE_IDENTIFIER,URIStatus::getBlockSizeBytes,URIStatus::getLength,,
CHANGE_IDENTIFIER,RaftJournalSystem.class,JournalStateMachine.class,,
DIFFERENT_METHOD_SAME_ARGS,"LOG.info(""Ignoring duplicate journal entry with SN {} when next SN is {}"",newSN,mNextSequenceNumberToRead)","LOG.debug(""Ignoring duplicate journal entry with SN {} when next SN is {}"",newSN,mNextSequenceNumberToRead)",,
CHANGE_IDENTIFIER,"LOG.info(""Ignoring duplicate journal entry with SN {} when next SN is {}"",newSN,mNextSequenceNumberToRead)","LOG.debug(""Ignoring duplicate journal entry with SN {} when next SN is {}"",newSN,mNextSequenceNumberToRead)",,
DIFFERENT_METHOD_SAME_ARGS,Configuration.getLong(PropertyKey.USER_FILE_LOAD_TTL),Configuration.getMs(PropertyKey.USER_FILE_LOAD_TTL),,
CHANGE_IDENTIFIER,Configuration.getLong(PropertyKey.USER_FILE_LOAD_TTL),Configuration.getMs(PropertyKey.USER_FILE_LOAD_TTL),,
DIFFERENT_METHOD_SAME_ARGS,Configuration.getLong(PropertyKey.USER_FILE_LOAD_TTL),Configuration.getMs(PropertyKey.USER_FILE_LOAD_TTL),,
CHANGE_IDENTIFIER,Configuration.getLong(PropertyKey.USER_FILE_LOAD_TTL),Configuration.getMs(PropertyKey.USER_FILE_LOAD_TTL),,
CHANGE_NUMERAL,(short)600,(short)0600,,
CHANGE_NUMERAL,(short)777,(short)0777,,
CHANGE_NUMERAL,(short)655,(short)0655,,
CHANGE_OPERAND,mLockMode == InodeTree.LockMode.READ,lockMode == InodeTree.LockMode.READ,,
CHANGE_IDENTIFIER,mLockMode == InodeTree.LockMode.READ,lockMode == InodeTree.LockMode.READ,,
DIFFERENT_METHOD_SAME_ARGS,e.getMessage(),e.toString(),,
CHANGE_IDENTIFIER,e.getMessage(),e.toString(),,
OVERLOAD_METHOD_MORE_ARGS,Preconditions.checkNotNull(location),"Preconditions.checkNotNull(location,""location"")",,
DIFFERENT_METHOD_SAME_ARGS,retry.attemptRetry(),retry.attempt(),,
CHANGE_IDENTIFIER,retry.attemptRetry(),retry.attempt(),,
OVERLOAD_METHOD_MORE_ARGS,LOG.warn(e.getMessage()),"LOG.warn(""Failed to delete path from UFS: {}"",e.getMessage())",,
OVERLOAD_METHOD_MORE_ARGS,LOG.warn(e.getMessage()),"LOG.warn(""SpaceReserver failed to free tier {} to {} bytes used: {}"",tierAlias,reservedSpace,e.getMessage())",,
DIFFERENT_METHOD_SAME_ARGS,retry.attemptRetry(),retry.attempt(),,
CHANGE_IDENTIFIER,retry.attemptRetry(),retry.attempt(),,
OVERLOAD_METHOD_MORE_ARGS,Preconditions.checkNotNull(uri),"Preconditions.checkNotNull(uri,""uri"")",,
DIFFERENT_METHOD_SAME_ARGS,obj.setContentEncoding(Mimetypes.MIMETYPE_BINARY_OCTET_STREAM),obj.setContentType(Mimetypes.MIMETYPE_BINARY_OCTET_STREAM),,
CHANGE_IDENTIFIER,obj.setContentEncoding(Mimetypes.MIMETYPE_BINARY_OCTET_STREAM),obj.setContentType(Mimetypes.MIMETYPE_BINARY_OCTET_STREAM),,
DIFFERENT_METHOD_SAME_ARGS,meta.setContentEncoding(Mimetypes.MIMETYPE_OCTET_STREAM),meta.setContentType(Mimetypes.MIMETYPE_OCTET_STREAM),,
CHANGE_IDENTIFIER,meta.setContentEncoding(Mimetypes.MIMETYPE_OCTET_STREAM),meta.setContentType(Mimetypes.MIMETYPE_OCTET_STREAM),,
DIFFERENT_METHOD_SAME_ARGS,obj.setContentEncoding(Mimetypes.MIMETYPE_BINARY_OCTET_STREAM),obj.setContentType(Mimetypes.MIMETYPE_BINARY_OCTET_STREAM),,
CHANGE_IDENTIFIER,obj.setContentEncoding(Mimetypes.MIMETYPE_BINARY_OCTET_STREAM),obj.setContentType(Mimetypes.MIMETYPE_BINARY_OCTET_STREAM),,
DIFFERENT_METHOD_SAME_ARGS,meta.setContentEncoding(Mimetypes.MIMETYPE_OCTET_STREAM),meta.setContentType(Mimetypes.MIMETYPE_OCTET_STREAM),,
CHANGE_IDENTIFIER,meta.setContentEncoding(Mimetypes.MIMETYPE_OCTET_STREAM),meta.setContentType(Mimetypes.MIMETYPE_OCTET_STREAM),,
DIFFERENT_METHOD_SAME_ARGS,obj.setContentEncoding(Mimetypes.MIMETYPE_BINARY_OCTET_STREAM),obj.setContentType(Mimetypes.MIMETYPE_BINARY_OCTET_STREAM),,
CHANGE_IDENTIFIER,obj.setContentEncoding(Mimetypes.MIMETYPE_BINARY_OCTET_STREAM),obj.setContentType(Mimetypes.MIMETYPE_BINARY_OCTET_STREAM),,
DIFFERENT_METHOD_SAME_ARGS,meta.setContentEncoding(Mimetypes.MIMETYPE_OCTET_STREAM),meta.setContentType(Mimetypes.MIMETYPE_OCTET_STREAM),,
CHANGE_IDENTIFIER,meta.setContentEncoding(Mimetypes.MIMETYPE_OCTET_STREAM),meta.setContentType(Mimetypes.MIMETYPE_OCTET_STREAM),,
CHANGE_UNARY_OPERATOR,!NettyUtils.isDomainSocketSupported(dataSource),NettyUtils.isDomainSocketSupported(dataSource),,
DIFFERENT_METHOD_SAME_ARGS,mLocalWorkerAddress.getRpcPort(),mLocalWorkerAddress.getDataPort(),,
CHANGE_IDENTIFIER,mLocalWorkerAddress.getRpcPort(),mLocalWorkerAddress.getDataPort(),,
ADD_THROWS_EXCEPTION,1,1,,
ADD_THROWS_EXCEPTION,1,1,,
CHANGE_MODIFIER,1,0,,
CHANGE_MODIFIER,1,0,,
SWAP_BOOLEAN_LITERAL,return false; ,return true; ,,
OVERLOAD_METHOD_MORE_ARGS,"Mockito.doNothing().when(mFileSystemMasterClient).rename(src,dst)","Mockito.doNothing().when(mFileSystemMasterClient).rename(src,dst,renameOptions)",,
OVERLOAD_METHOD_MORE_ARGS,"Mockito.verify(mFileSystemMasterClient).rename(src,dst)","Mockito.verify(mFileSystemMasterClient).rename(src,dst,renameOptions)",,
OVERLOAD_METHOD_MORE_ARGS,"Mockito.doThrow(EXCEPTION).when(mFileSystemMasterClient).rename(src,dst)","Mockito.doThrow(EXCEPTION).when(mFileSystemMasterClient).rename(src,dst,renameOptions)",,
CHANGE_MODIFIER,2,18,,
CHANGE_MODIFIER,2,18,,
CHANGE_MODIFIER,2,18,,
DIFFERENT_METHOD_SAME_ARGS,stat.st_size.get(),stat.st_size.longValue(),,
CHANGE_IDENTIFIER,stat.st_size.get(),stat.st_size.longValue(),,
DIFFERENT_METHOD_SAME_ARGS,stat.st_ctim.tv_nsec.get(),stat.st_ctim.tv_nsec.longValue(),,
CHANGE_IDENTIFIER,stat.st_ctim.tv_nsec.get(),stat.st_ctim.tv_nsec.longValue(),,
DIFFERENT_METHOD_SAME_ARGS,stat.st_mtim.tv_nsec.get(),stat.st_mtim.tv_nsec.longValue(),,
CHANGE_IDENTIFIER,stat.st_mtim.tv_nsec.get(),stat.st_mtim.tv_nsec.longValue(),,
DIFFERENT_METHOD_SAME_ARGS,stat.st_mode.get(),stat.st_mode.intValue(),,
CHANGE_IDENTIFIER,stat.st_mode.get(),stat.st_mode.intValue(),,
CHANGE_IDENTIFIER,return EOF_BLOCK_ID; ,return EOF_DATA; ,,
CHANGE_UNARY_OPERATOR,key.equals(PropertyKey.ZOOKEEPER_ENABLED),!key.equals(PropertyKey.ZOOKEEPER_ENABLED),,
CHANGE_MODIFIER,1,33,,
CHANGE_MODIFIER,1,33,,
CHANGE_MODIFIER,1,33,,
DIFFERENT_METHOD_SAME_ARGS,LOCAL_OPTION.getOpt(),LOCAL_OPTION.getLongOpt(),,
CHANGE_IDENTIFIER,LOCAL_OPTION.getOpt(),LOCAL_OPTION.getLongOpt(),,
DIFFERENT_METHOD_SAME_ARGS,"LOG.info(""Creating short circuit input stream for block {} @ {}"",blockId,address)","LOG.debug(""Creating short circuit input stream for block {} @ {}"",blockId,address)",,
CHANGE_IDENTIFIER,"LOG.info(""Creating short circuit input stream for block {} @ {}"",blockId,address)","LOG.debug(""Creating short circuit input stream for block {} @ {}"",blockId,address)",,
DIFFERENT_METHOD_SAME_ARGS,"LOG.info(""Creating netty input stream for block {} @ {} from client {}"",blockId,address,NetworkAddressUtils.getClientHostName())","LOG.debug(""Creating netty input stream for block {} @ {} from client {}"",blockId,address,NetworkAddressUtils.getClientHostName())",,
CHANGE_IDENTIFIER,"LOG.info(""Creating netty input stream for block {} @ {} from client {}"",blockId,address,NetworkAddressUtils.getClientHostName())","LOG.debug(""Creating netty input stream for block {} @ {} from client {}"",blockId,address,NetworkAddressUtils.getClientHostName())",,
DIFFERENT_METHOD_SAME_ARGS,"LOG.info(""Creating short circuit output stream for block {} @ {}"",blockId,address)","LOG.debug(""Creating short circuit output stream for block {} @ {}"",blockId,address)",,
CHANGE_IDENTIFIER,"LOG.info(""Creating short circuit output stream for block {} @ {}"",blockId,address)","LOG.debug(""Creating short circuit output stream for block {} @ {}"",blockId,address)",,
DIFFERENT_METHOD_SAME_ARGS,"LOG.info(""Creating netty output stream for block {} @ {} from client {}"",blockId,address,NetworkAddressUtils.getClientHostName())","LOG.debug(""Creating netty output stream for block {} @ {} from client {}"",blockId,address,NetworkAddressUtils.getClientHostName())",,
CHANGE_IDENTIFIER,"LOG.info(""Creating netty output stream for block {} @ {} from client {}"",blockId,address,NetworkAddressUtils.getClientHostName())","LOG.debug(""Creating netty output stream for block {} @ {} from client {}"",blockId,address,NetworkAddressUtils.getClientHostName())",,
DIFFERENT_METHOD_SAME_ARGS,"LOG.info(""Creating short circuit input stream for block {} @ {}"",blockId,address)","LOG.debug(""Creating short circuit input stream for block {} @ {}"",blockId,address)",,
CHANGE_IDENTIFIER,"LOG.info(""Creating short circuit input stream for block {} @ {}"",blockId,address)","LOG.debug(""Creating short circuit input stream for block {} @ {}"",blockId,address)",,
DIFFERENT_METHOD_SAME_ARGS,"LOG.info(""Creating netty input stream for block {} @ {} from client {}"",blockId,address,NetworkAddressUtils.getClientHostName())","LOG.debug(""Creating netty input stream for block {} @ {} from client {}"",blockId,address,NetworkAddressUtils.getClientHostName())",,
CHANGE_IDENTIFIER,"LOG.info(""Creating netty input stream for block {} @ {} from client {}"",blockId,address,NetworkAddressUtils.getClientHostName())","LOG.debug(""Creating netty input stream for block {} @ {} from client {}"",blockId,address,NetworkAddressUtils.getClientHostName())",,
DIFFERENT_METHOD_SAME_ARGS,"LOG.info(""Creating short circuit output stream for block {} @ {}"",blockId,address)","LOG.debug(""Creating short circuit output stream for block {} @ {}"",blockId,address)",,
CHANGE_IDENTIFIER,"LOG.info(""Creating short circuit output stream for block {} @ {}"",blockId,address)","LOG.debug(""Creating short circuit output stream for block {} @ {}"",blockId,address)",,
DIFFERENT_METHOD_SAME_ARGS,"LOG.info(""Creating netty output stream for block {} @ {} from client {}"",blockId,address,NetworkAddressUtils.getClientHostName())","LOG.debug(""Creating netty output stream for block {} @ {} from client {}"",blockId,address,NetworkAddressUtils.getClientHostName())",,
CHANGE_IDENTIFIER,"LOG.info(""Creating netty output stream for block {} @ {} from client {}"",blockId,address,NetworkAddressUtils.getClientHostName())","LOG.debug(""Creating netty output stream for block {} @ {} from client {}"",blockId,address,NetworkAddressUtils.getClientHostName())",,
